fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2018-06-26,UA,UA_CODESHARE,UA,4445,EV,N16561,4445,12339,IND,"Indianapolis, IN",12266,IAH,"Houston, TX",1730,1730,0,10,1740,1852,9,1900,1901,1,0,,0,N,150,151,132,1,844,,,,,,,,,
2018-10-21,AA,AA_CODESHARE,AA,4868,PT,N648AE,4868,13277,MGM,"Montgomery, AL",11057,CLT,"Charlotte, NC",748,732,-16,14,746,945,24,1030,1009,-21,0,,0,N,102,97,59,1,372,,,,,,,,,
2019-07-01,DL,DL_CODESHARE,DL,5963,YX,N871RW,5963,10721,BOS,"Boston, MA",14524,RIC,"Richmond, VA",900,850,-10,28,918,1032,8,1053,1040,-13,0,,0,N,113,110,74,1,474,,,,,,,,,
2018-01-31,AA,AA_CODESHARE,AA,4450,YX,N431YX,4450,13303,MIA,"Miami, FL",12266,IAH,"Houston, TX",1552,1548,-4,25,1613,1738,7,1757,1745,-12,0,,0,N,185,177,145,1,964,,,,,,,,,
2019-11-16,DL,DL_CODESHARE,DL,4539,OO,N275SY,4539,15376,TUS,"Tucson, AZ",14869,SLC,"Salt Lake City, UT",820,819,-1,10,829,959,19,1021,1018,-3,0,,0,N,121,119,90,1,601,,,,,,,,,
2018-05-07,G4,G4,G4,456,G4,863GA,456,12889,LAS,"Las Vegas, NV",11775,FSD,"Sioux Falls, SD",725,725,0,15,740,1151,7,1206,1158,-8,0,,0,N,161,153,131,1,1104,,,,,,,,,
2019-05-23,F9,F9,F9,245,F9,N206FR,245,12266,IAH,"Houston, TX",11292,DEN,"Denver, CO",515,507,-8,8,515,608,8,648,616,-32,0,,0,N,153,129,113,1,862,,,,,,,,,
2019-09-19,DL,DL,DL,982,DL,N892AT,982,11433,DTW,"Detroit, MI",11057,CLT,"Charlotte, NC",702,700,-2,15,715,833,5,854,838,-16,0,,0,N,112,98,78,1,500,,,,,,,,,
2019-02-17,WN,WN,WN,3584,WN,N921WN,3584,11259,DAL,"Dallas, TX",10279,AMA,"Amarillo, TX",1705,1754,49,6,1800,1854,3,1820,1857,37,0,,0,N,75,63,54,1,323,0,0,0,0,37,,,,
2019-03-11,WN,WN,WN,1544,WN,N7858A,1544,11618,EWR,"Newark, NJ",13232,MDW,"Chicago, IL",1210,1209,-1,10,1219,1318,5,1330,1323,-7,0,,0,N,140,134,119,1,711,,,,,,,,,
2018-03-23,DL,DL,DL,2703,DL,N935AT,2703,10397,ATL,"Atlanta, GA",11003,CID,"Cedar Rapids/Iowa City, IA",2126,2114,-12,17,2131,2220,3,2229,2223,-6,0,,0,N,123,129,109,1,694,,,,,,,,,
2019-12-17,WN,WN,WN,887,WN,N914WN,887,10693,BNA,"Nashville, TN",15304,TPA,"Tampa, FL",1730,1742,12,8,1750,2044,4,2010,2048,38,0,,0,N,100,126,114,1,612,2,0,26,0,10,,,,
2018-09-21,UA,UA_CODESHARE,UA,3877,ZW,N445AW,3877,13930,ORD,"Chicago, IL",10408,ATW,"Appleton, WI",1930,2100,90,20,2120,2153,4,2030,2157,87,0,,0,N,60,57,33,1,160,1,0,0,0,86,,,,
2018-08-23,UA,UA_CODESHARE,UA,5760,OO,N206SY,5760,13930,ORD,"Chicago, IL",13487,MSP,"Minneapolis, MN",1750,1754,4,27,1821,1924,6,1926,1930,4,0,,0,N,96,96,63,1,334,,,,,,,,,
2018-07-19,AA,AA,AA,2719,AA,N939NN,2719,11057,CLT,"Charlotte, NC",10821,BWI,"Baltimore, MD",1448,1449,1,22,1511,1607,8,1617,1615,-2,0,,0,N,89,86,56,1,361,,,,,,,,,
2018-01-19,WN,WN,WN,1954,WN,N8527Q,1954,14747,SEA,"Seattle, WA",11259,DAL,"Dallas, TX",1205,1207,2,30,1237,1803,5,1800,1808,8,0,,0,N,235,241,206,1,1670,,,,,,,,,
2018-01-05,AA,AA,AA,1932,AA,N161UW,1932,11057,CLT,"Charlotte, NC",14107,PHX,"Phoenix, AZ",1749,1745,-4,13,1758,2008,7,2028,2015,-13,0,,0,N,279,270,250,1,1773,,,,,,,,,
2018-07-31,DL,DL_CODESHARE,DL,4293,OO,N438SW,4293,12003,GTF,"Great Falls, MT",14869,SLC,"Salt Lake City, UT",1750,1845,55,8,1853,2001,6,1923,2007,44,0,,0,N,93,82,68,1,463,44,0,0,0,0,,,,
2019-11-12,WN,WN,WN,1409,WN,N8646B,1409,11259,DAL,"Dallas, TX",14679,SAN,"San Diego, CA",2205,2229,24,9,2238,2340,3,2315,2343,28,0,,0,N,190,194,182,1,1182,0,0,4,0,24,,,,
2018-11-26,WN,WN,WN,2528,WN,N292WN,2528,10821,BWI,"Baltimore, MD",12339,IND,"Indianapolis, IN",1520,1620,60,14,1634,1803,5,1710,1808,58,0,,0,N,110,108,89,1,516,19,0,0,0,39,,,,
2019-05-10,AA,AA_CODESHARE,AA,3598,MQ,N670AE,3598,11003,CID,"Cedar Rapids/Iowa City, IA",13930,ORD,"Chicago, IL",600,600,0,11,611,655,9,714,704,-10,0,,0,N,74,64,44,1,196,,,,,,,,,
2019-06-11,AA,AA,AA,541,AA,N725UW,541,15304,TPA,"Tampa, FL",11278,DCA,"Washington, DC",1953,1953,0,17,2010,2202,5,2215,2207,-8,0,,0,N,142,134,112,1,814,,,,,,,,,
2019-08-10,DL,DL,DL,453,DL,N825NW,453,12478,JFK,"New York, NY",12892,LAX,"Los Angeles, CA",1350,1348,-2,33,1421,1636,9,1645,1645,0,0,,0,N,355,357,315,1,2475,,,,,,,,,
2019-12-13,F9,F9,F9,486,F9,N322FR,486,11292,DEN,"Denver, CO",14635,RSW,"Fort Myers, FL",2334,2348,14,14,2,457,7,513,504,-9,0,,0,N,219,196,175,1,1607,,,,,,,,,
2018-09-20,DL,DL_CODESHARE,DL,3304,9E,N330PQ,3304,15016,STL,"St. Louis, MO",12953,LGA,"New York, NY",1031,1026,-5,15,1041,1333,8,1359,1341,-18,0,,0,N,148,135,112,1,888,,,,,,,,,
2018-12-16,WN,WN,WN,2746,WN,N926WN,2746,13796,OAK,"Oakland, CA",14747,SEA,"Seattle, WA",1155,1159,4,16,1215,1339,6,1400,1345,-15,0,,0,N,125,106,84,1,672,,,,,,,,,
2018-06-07,UA,UA_CODESHARE,UA,3936,ZW,N410AW,3936,11146,CRW,"Charleston/Dunbar, WV",13930,ORD,"Chicago, IL",1750,1746,-4,17,1803,1815,16,1834,1831,-3,0,,0,N,104,105,72,1,416,,,,,,,,,
